"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Montufar, Rommel_1","WOS:000286581800004
","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia","","","",1
"Montufar, Rommel_1","WOS:000286581800004
","","","","","",2
"Montufar, Rommel_1","WOS:000286581800004
","","","","","",3
"Wurm, P_1","WOS:000286581800004
","","","","","",4
"Metz, MR_1","WOS:000285635100028
","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA","","","",1
"Sousa, WP_1","WOS:000285635100028
","","","","","",2
"Montufar, Rommel_1","WOS:000285635100028
","","","","","",3
"Larrea, ML_1","WOS:000284393700003
","EcoCiencia, Quito, Ecuador.","","","","",1
"Werner, FA_1","WOS:000284393700003
","","Carl von Ossietzky Univ Oldenburg, Inst Biol & Umweltwissench, AG Funkt Okol, Carl von Ossietzkystr 9-11,POB 2503, D-26111 Oldenburg, Germany","","","",2
"Acurio, A_1","WOS:000283949700013
","Pontificia Univ Catolica Ecuador, Dept Biol Sci, Quito, Ecuador.","Pontificia Univ Catolica Ecuador, Dept Biol Sci, Apartado 17-01-2184, Quito, Ecuador","","","",1
"Rafael, V_1","WOS:000283949700013
","","","","","",2
"Montufar, Rommel_1","WOS:000283949700013
","","","","","",3
"Castro, SA_1","WOS:000283375900003
","Univ Santiago Chile, Dept Biol, Santiago, Chile.","Univ Santiago Chile, Dept Biol, Av Lib B Ohiggins 3363, Santiago, Chile","","","",1
"Daehler, CC_1","WOS:000283375900003
","","","","","",2
"Silva, L_1","WOS:000283375900003
","","","","","",3
"Torres-Santana, CW_1","WOS:000283375900003
","","","","","",4
"Reyes-Betancort, JA_1","WOS:000283375900003
","","","","","",5
"Montufar, Rommel_1","WOS:000283375900003
","","","","","",6
"Montufar, Rommel_1","WOS:000283375900003
","","","","","",7
"Montufar, Rommel_1","WOS:000283375900003
","","","","","",8
