"filename","AB","AF","AU","BP","C1","CC","CH","CL","CR","CT","CY","DE","DI","DT","EM","EP","FN","FU","FX","GA","GE","ID","IS","J9","JI","LA","LT","MC","MI","NR","PA","PD","PG","PI","PN","PS","PT","PU","PY","RI","RID","OI","PM","RP","SC","SI","SN","SO","SU","TA","TC","TI","UT","VR","VL","WC","Z9"
"./data/Ecuador.txt",NA,"Trueman, Mandy
Atkinson, Rachel
Guezou, Anne
Wurm, Penny
","Trueman, M
Atkinson, R
Guezou, A
Wurm, P
","3949
","[Trueman, M; Atkinson, R; Guezou, A] Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.
[Trueman, M; Wurm, P] Charles Darwin Univ, Darwin, NT 0909, Australia.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10530-010-9822-8
",NA,"mandy.trueman@fcdarwin.org.ec
","3960
","NA
",NA,NA,NA,NA,NA,"12
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Trueman, M (reprint author), Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia
",NA,"SI
","1387-3547
","BIOLOGICAL INVASIONS
",NA,NA,2,"Residence time and human-mediated propagule pressure at work in the
alien flora of Galapagos
","WOS:000286581800004
",NA,12,NA,2
"./data/Ecuador.txt",NA,"Metz, Margaret R.
Sousa, Wayne P.
Valencia, Renato
","Metz, MR
Sousa, WP
Valencia, R
","3675
","[Metz, MR; Sousa, WP] Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.
[Valencia, R] Pontificia Univ Catolica Ecuador, Escuela Ciencias Biol, Lab Ecol Plantas, Quito, Ecuador.
[Valencia, R] Pontificia Univ Catolica Ecuador, Escuela Ciencias Biol, Herbario QCA, Quito, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1890/08-2323.1
",NA,"mrmetz@ucdavis.edu
","3685
","NA
",NA,NA,NA,NA,NA,"12
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Metz, MR (reprint author), Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA
",NA,NA,"0012-9658
","ECOLOGY
",NA,NA,1,"Widespread density-dependent seedling mortality promotes species
coexistence in a highly diverse Amazonian rain forest
","WOS:000285635100028
",NA,91,NA,1
"./data/Ecuador.txt",NA,"Larrea, Mario L.
Werner, Florian A.
","Larrea, ML
Werner, FA
","1950
","[Larrea, ML] EcoCiencia, Quito, Ecuador.
[Werner, FA] Univ Gottingen, Inst Pflanzenwisenssch, D-37073 Gottingen, Germany.
",NA,NA,NA,NA,NA,NA,NA,"10.1016/j.foreco.2010.08.029
",NA,"mplarreal@yahoo.es
florianwerner@yahoo.com
","1955
","NA
",NA,NA,NA,NA,NA,"11
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV 15
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Werner, FA (reprint author), Carl von Ossietzky Univ Oldenburg, Inst Biol & Umweltwissench, AG Funkt Okol, Carl von Ossietzkystr 9-11,POB 2503, D-26111 Oldenburg, Germany
",NA,NA,"0378-1127
","FOREST ECOLOGY AND MANAGEMENT
",NA,NA,1,"Response of vascular epiphyte diversity to different land-use
intensities in a neotropical montane wet forest
","WOS:000284393700003
",NA,260,NA,1
"./data/Ecuador.txt",NA,"Acurio, Andrea
Rafael, Violeta
Dangles, Olivier
","Acurio, A
Rafael, V
Dangles, O
","717
","[Acurio, A; Rafael, V; Dangles, O] Pontificia Univ Catolica Ecuador, Dept Biol Sci, Quito, Ecuador.
[Dangles, O] CNRS, UPR 9034, LEGS, IRD,UR 072, F-91198 Gif Sur Yvette, France.
[Dangles, O] Univ Paris 11, F-91405 Orsay, France.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1744-7429.2010.00628.x
",NA,"andreaacurio@yahoo.com
","723
","NA
",NA,NA,NA,NA,NA,"6
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,2010," C-4924-2009
",NA,NA,NA,"Acurio, A (reprint author), Pontificia Univ Catolica Ecuador, Dept Biol Sci, Apartado 17-01-2184, Quito, Ecuador
",NA,NA,"0006-3606
","BIOTROPICA
",NA,NA,0,"Biological Invasions in the Amazonian Tropical Rain Forest: The Case of
Drosophilidae (Insecta, Diptera) in Ecuador, South America
","WOS:000283949700013
",NA,42,NA,0
"./data/Ecuador.txt",NA,"Castro, Sergio A.
Daehler, Curtis C.
Silva, Luis
Torres-Santana, Christian W.
Reyes-Betancort, Jorge A.
Atkinson, Rachel
Jaramillo, Patricia
Guezou, Anne
Jaksic, Fabian M.
","Castro, SA
Daehler, CC
Silva, L
Torres-Santana, CW
Reyes-Betancort, JA
Atkinson, R
Jaramillo, P
Guezou, A
Jaksic, FM
","902
","[Castro, SA] Univ Santiago Chile, Dept Biol, Santiago, Chile.
[Daehler, CC; Torres-Santana, CW] Univ Hawaii, Dept Bot, Honolulu, HI 96822 USA.
[Silva, L] Univ Azores, Dept Biol CIRN, Ponta Delgada, Portugal.
[Atkinson, R; Jaramillo, P; Guezou, A] Charles Darwin Fdn, Santa Cruz, Galapagos, Ecuador.
[Castro, SA; Jaksic, FM] Pontificia Univ Catolica Chile, CASEB, Santiago, Chile.
[Castro, SA] CEDENNA, Ctr Desarrollo Nanociencia & Nanotecnol, Santiago 9170124, Chile.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1472-4642.2010.00695.x
",NA,"sergio.castro@usach.cl
","910
","NA
",NA,NA,NA,NA,NA,"6
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Castro, SA (reprint author), Univ Santiago Chile, Dept Biol, Av Lib B Ohiggins 3363, Santiago, Chile
",NA,NA,"1366-9516
","DIVERSITY AND DISTRIBUTIONS
",NA,NA,2,"Floristic homogenization as a teleconnected trend in oceanic islands
","WOS:000283375900003
",NA,16,NA,2
"./data/Ecuador.txt",NA,"Gaos, Alexander R.
Abreu-Grobois, F. A.
Alfaro-Shigueto, J.
Amorocho, D.
Arauz, R.
Baquero, A.
Briseno, R.
Chacon, D.
Duenas, C.
Hasbun, C.
Liles, M.
Mariona, G.
Muccio, C.
Munoz, J. P.
Nichols, W. J.
Pena, M.
Seminoff, J. A.
Vasquez, M.
Urteaga, J.
Wallace, B.
Yanez, I. L.
Zarate, P.
","Gaos, AR
Abreu-Grobois, FA
Alfaro-Shigueto, J
Amorocho, D
Arauz, R
Baquero, A
Briseno, R
Chacon, D
Duenas, C
Hasbun, C
Liles, M
Mariona, G
Muccio, C
Munoz, JP
Nichols, WJ
Pena, M
Seminoff, JA
Vasquez, M
Urteaga, J
Wallace, B
Yanez, IL
Zarate, P
","595
","[Gaos, AR; Yanez, IL] Ocean Fdn, Washington, DC USA.
[Gaos, AR] San Diego State Univ, Dept Biol, San Diego, CA 92102 USA.
[Abreu-Grobois, FA; Briseno, R] UNAM, Lab Genet & Banco Informac Tortugas Marinas, Inst Ciencias Mar & Limnol, Mazatlan, Mexico.
[Alfaro-Shigueto, J] ProDelphinus, Lima, Peru.
[Alfaro-Shigueto, J] Univ Exeter, Exeter, Devon, England.
[Amorocho, D] Ctr Invest El Manejo Ambiental & El Desarrollo, Cali, Colombia.
[Arauz, R] Programa Restaurac Tortugas Marinas, San Jose, Costa Rica.
[Baquero, A; Munoz, JP; Pena, M] Fdn Equilibrio Azul, Quito, Ecuador.
[Baquero, A] Univ San Francisco Quito, Quito, Ecuador.
[Chacon, D] WIDECAST Latin Amer, San Jose, Costa Rica.
[Duenas, C] Minist Medio Ambiente & Recursos Nat, San Salvador, El Salvador.
[Hasbun, C] USAID, Santa Elena, La Libertad, El Salvador.
[Liles, M; Mariona, G] Fdn Zool El Salvador, San Salvador, El Salvador.
[Muccio, C] Asociac Rescate & Conservac Vida Silvestre, San Lucas Sacatepequez, Guatemala.
[Nichols, WJ] Calif Acad Sci, San Francisco, CA 94118 USA.
[Seminoff, JA] Natl Ocean & Atmospher Adm, San Diego, CA USA.
[Vasquez, M] Univ El Salvador, Inst Ciencias Mar & Limnol, San Salvador, El Salvador.
[Urteaga, J] Fauna & Flora Int, Managua, Nicaragua.
[Wallace, B] Conservat Int, Global Marine Div, Arlington, TX USA.
[Yanez, IL] Grp Tortuguero Californias AC, La Paz, Mexico.
[Zarate, P] Univ Florida, Archie Carr Ctr Sea Turtle Res, Gainesville, FL USA.
[Zarate, P] Univ Florida, Dept Biol, Gainesville, FL USA.
[Zarate, P] Charles Darwin Fdn, Santa Cruz Isl, Galapagos Isl, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1017/S0030605310000773
",NA,NA,"601
","NA
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Gaos, AR (reprint author), Ocean Fdn, Washington, DC USA
",NA,NA,"0030-6053
","ORYX
",NA,NA,1,"Signs of hope in the eastern Pacific: international collaboration
reveals encouraging status for a severely depleted population of
hawksbill turtles Eretmochelys imbricata
","WOS:000284038500027
",NA,44,NA,2
"./data/Ecuador.txt",NA,"Edgar, Graham J.
Banks, Stuart A.
Brandt, Margarita
Bustamante, Rodrigo H.
Chiriboga, Angel
Earle, Sylvia A.
Garske, Lauren E.
Glynn, Peter W.
Grove, Jack S.
Henderson, Scott
Hickman, Cleve P.
Miller, Kathy A.
Rivera, Fernando
Wellington, Gerald M.
","Edgar, GJ
Banks, SA
Brandt, M
Bustamante, RH
Chiriboga, A
Earle, SA
Garske, LE
Glynn, PW
Grove, JS
Henderson, S
Hickman, CP
Miller, KA
Rivera, F
Wellington, GM
","2876
","[Edgar, GJ] Univ Tasmania, Tasmanian Aquaculture & Fisheries Inst, Hobart, Tas 7001, Australia.
[Edgar, GJ; Banks, SA; Brandt, M; Chiriboga, A; Rivera, F] Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.
[Edgar, GJ] Conservat Int, Arlington, VA 22202 USA.
[Bustamante, RH] CSIRO Marine & Atmospher Res, Cleveland, Qld 4163, Australia.
[Earle, SA] Natl Geog Soc, Washington, DC 20036 USA.
[Garske, LE] Univ Calif Davis, Bodega Marine Lab, Bodega Bay, CA 94923 USA.
[Glynn, PW] Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Div Marine Biol & Fisheries, Miami, FL 33149 USA.
[Grove, JS] Museum Los Angeles Cty, Sect Fishes Nat Hist, Los Angeles, CA 90007 USA.
[Henderson, S] Conservat Int, Puerto Ayora, Galapagos, Ecuador.
[Hickman, CP] Washington & Lee Univ, Dept Biol, Lexington, VA 24450 USA.
[Miller, KA] Univ Calif Berkeley, Univ Herbarium, Berkeley, CA 94720 USA.
[Rivera, F] Univ Melbourne, Dept Zool, Parkville, Vic 3010, Australia.
[Wellington, GM] Univ Houston, Dept Biol & Biochem, Houston, TX 77204 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1365-2486.2009.02117.x
",NA,"g.edgar@utas.edu.au
","2890
","NA
",NA,NA,NA,NA,NA,"10
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Edgar, GJ (reprint author), Univ Tasmania, Tasmanian Aquaculture & Fisheries Inst, Private Bag 49, Hobart, Tas 7001, Australia
",NA,NA,"1354-1013
","GLOBAL CHANGE BIOLOGY
",NA,NA,3,"El Nino, grazers and fisheries interact to greatly elevate extinction
risk for Galapagos marine species
","WOS:000281676700020
",NA,16,NA,3
"./data/Ecuador.txt",NA,"Wullaert, H.
Homeier, J.
Valarezo, C.
Wilcke, W.
","Wullaert, H
Homeier, J
Valarezo, C
Wilcke, W
","1434
","[Wilcke, W] Univ Bern, Inst Geog, CH-3012 Bern, Switzerland.
[Wullaert, H] Johannes Gutenberg Univ Mainz, Earth Syst Sci Res Ctr, Inst Geog, Mainz, Germany.
[Valarezo, C] Univ Gottingen, Albrecht von Haller Inst Plant Sci, Gottingen, Germany.
[Valarezo, C] Univ Natl de Loja, Direcc Gen Invest, Sector La Argelia, Loja, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1016/j.foreco.2010.07.021
",NA,"wolfgang.wilcke@giub.unibe.ch
","1445
","NA
",NA,NA,NA,NA,NA,"9
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP 30
",NA,NA,NA,NA,"J
",NA,2010," A-1573-2008
",NA,NA,NA,"Wilcke, W (reprint author), Univ Bern, Inst Geog, Hallerstr 12, CH-3012 Bern, Switzerland
",NA,NA,"0378-1127
","FOREST ECOLOGY AND MANAGEMENT
",NA,NA,0,"Response of the N and P cycles of an old-growth montane forest in
Ecuador to experimental low-level N and P amendments
","WOS:000283458600003
",NA,260,NA,0
"./data/Ecuador.txt",NA,"Tello, J. Sebastian
Stevens, Richard D.
","Tello, JS
Stevens, RD
","796
","[Tello, JS] Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.
[Tello, JS] Pontificia Univ Catolica Ecuador, Museo Zool, Escuela Ciencias Biol, Quito, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1600-0587.2009.05991.x
",NA,"jtello1@lsu.edu
","808
","NA
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,2010,NA,NA,NA,NA,"Tello, JS (reprint author), Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA
",NA,NA,"0906-7590
","ECOGRAPHY
",NA,NA,2,"Multiple environmental determinants of regional species richness and
effects of geographic range size
","WOS:000282176800018
",NA,33,NA,2
"./data/Ecuador.txt",NA,"Greeney, Harold F.
","Greeney, HF
","547
","[Greeney, HF] Yanayacu Biol Stn, Quito, Ecuador.
[Greeney, HF] Ctr Creat Studies, Quito, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1017/S0266467410000295
",NA,"revmmoss@yahoo.com
","549
","NA
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,5,NA,"J
",NA,2010,NA,NA,NA,NA,"Greeney, HF (reprint author), Yanayacu Biol Stn, Foch 721 & Amazonas, Quito, Ecuador
",NA,NA,"0266-4674
","JOURNAL OF TROPICAL ECOLOGY
",NA,NA,0,"Bimodal breeding seasonality of an understorey bird, Premnoplex
brunnescens, in an Ecuadorian cloud forest
","WOS:000281371800007
",NA,26,NA,0
